fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type,tS1,tS2,tS3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,overplotting
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,White,4.533600592,-23.69933075,-16.64488362,-0.708700736,1.569161772,-0.037990884,-0.942261474,0.419376789,-0.203056759,-0.264808979,0.085843896,-0.630942589,0.269087282,-0.123995561,0
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,White,-30.33690764,-0.839695335,-2.011680859,0.276126977,1.456391338,-0.858944115,-0.824153991,0.038002608,-0.429345674,-0.022311296,-0.501774774,0.021987831,0.06227334,-0.002574281,0
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,White,-3.563660667,-13.71947901,6.857363811,-0.690137505,0.175587061,-0.051086523,-1.483906385,-0.336451935,0.346468975,-1.069977084,-0.471798404,-0.476806093,-0.15544539,-0.013796671,0
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,White,5.53908254,-23.09471934,-18.90461938,0.34551587,2.796247452,0.554329739,0.561045491,0.150397451,0.673786851,-0.153305013,0.506036921,-0.080733388,-0.055841038,-0.085441155,0
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,White,27.16563966,-9.855320877,-2.552607282,-0.888637784,-1.349788903,0.049707306,-0.867616213,-0.259072314,-0.24879566,0.047356612,-0.762174312,0.25618817,-0.588351893,-0.052444246,0
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,White,-17.01237375,19.47324282,-8.752566294,0.321030661,1.165103716,-0.325483828,-2.609234876,0.388579514,-0.316185762,1.621518212,0.476587902,1.262297782,0.60832213,0.152212896,0
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,White,-14.29704398,0.174077447,21.71173481,-3.341033698,-1.480130151,-0.913814237,0.154954193,0.93401791,0.073828435,1.21973748,-0.266379029,-0.284271651,0.051269054,0.183709865,0
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,White,2.743342464,-24.22516107,0.50146119,-0.912074928,1.09257916,-0.176092865,-1.129408618,-0.667759877,0.558383892,0.159929734,0.290263111,0.393732131,-0.060442077,0.021086082,0
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,White,-1.101876846,-3.701982122,10.44492475,-2.727413664,-1.878754614,0.914373007,0.474504725,-0.290930515,0.214734961,0.385150423,-0.296897043,0.728741323,0.119216627,0.044171408,0
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,White,-27.28798566,9.348064963,-4.434429788,1.954581709,-0.592425873,0.296464774,-0.01904786,0.414423445,-0.508488245,1.16504598,-0.709058607,-0.56979952,-0.192510126,0.622200314,0
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,White,15.38089842,8.198392339,-8.604793584,-1.799028402,0.515302841,0.560568549,-1.290052014,0.341412749,0.344633283,0.55725076,0.309437183,0.285638282,0.248482152,-0.396060284,0
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6,White,13.8642324,-9.392941758,-8.636691712,0.846137072,0.402190377,1.090303784,0.697292489,0.570739296,0.089304049,0.097654931,0.158111332,-0.704718404,-0.544627239,0.198053508,0
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6,White,1.556951009,-4.352331913,22.26554104,-1.928850225,-0.701223459,0.283240056,1.098830989,0.326950498,-0.557482466,-0.045689877,0.249475523,-0.58277586,-0.407096746,-0.422806336,0
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5,White,7.540418439,-6.669203321,15.00820007,-2.301518164,-2.063716436,1.319572772,0.32362408,-0.167163211,0.026070864,-0.007341853,-0.221040766,0.243045915,-0.159545028,0.013081488,0
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,White,-25.98086586,9.410655159,0.154927427,0.647026179,2.384412571,0.225825161,-0.498153148,-0.676155693,-0.452493393,-1.304876717,-0.136131705,-0.250209309,-0.249490661,0.236024742,0
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7,White,-21.8620236,-2.158552845,12.1318195,0.592895624,1.420534859,0.156734784,-0.102851477,-1.334973586,-0.25840323,-0.50661777,0.359419722,-0.276054367,-0.727548399,0.286284467,0
6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6,White,25.50591992,-2.798762376,5.913987719,-0.459704524,1.40044442,-0.174178055,-0.848060443,0.611273116,0.0433659,-0.205094118,-0.486991033,-0.388948449,-0.931337145,-0.063099396,0
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,White,18.598333,7.261174313,-22.99033752,-1.754544328,-1.318444793,1.307775804,0.085439968,-0.31327591,-0.56734428,-0.322828322,0.301115302,0.710440513,0.298278776,0.18385497,0
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,White,-8.70266938,-11.82356321,5.50077003,0.127257762,3.390235135,-0.644151891,0.203867154,-0.962280951,0.515800543,-0.587053695,0.679814311,-0.243519285,-0.48480097,-0.103838387,0
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,White,6.553198206,-3.812689018,10.73829425,-3.010468456,-0.985309722,-0.779004624,0.491185952,-1.153099049,0.925799236,-0.689302959,-0.145415271,-0.429491201,-0.282876683,0.072029014,0
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,White,25.34941778,7.617239571,2.272876319,-1.87004527,-1.625848961,-1.438558774,-0.72394836,0.065485253,-0.893743297,1.366488102,0.616721633,-0.676264883,-0.375034825,0.373238351,0
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,White,17.41869884,8.276104517,-7.535331989,-0.833194417,-0.258557819,0.941234862,0.099111272,-0.016952669,0.68171941,-0.315889486,0.344150902,-0.385145201,-0.295240097,-0.022374859,0
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6,White,17.85791141,-1.626214207,-14.59448137,-0.719829534,0.226363429,0.163814237,0.443199742,0.433254342,-0.989520795,-0.430883864,0.542546256,-0.526869603,-0.125548311,-0.272081767,0
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,White,-21.5896931,20.50970789,-1.076469587,1.47089362,1.465456222,0.1033728,1.65218213,-0.045381276,-1.852517537,-1.63510692,-0.475104617,0.106634465,-0.126140404,0.312027871,0
6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,White,-0.849806001,-3.606556533,10.20510218,-2.641105121,-1.12813481,0.388210132,1.170213069,-0.594285024,0.028630762,0.241824052,0.240037455,0.183131204,-0.043615918,0.185270831,0
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,White,-18.10366736,-9.492240601,13.59188252,0.592627808,1.80303588,0.29041363,-0.498602021,0.177952846,-0.864844819,-0.421833424,0.194887247,0.12130869,-0.424066612,0.113543715,0
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6,White,9.55240406,1.119708294,-22.70970475,-0.365514824,0.161593792,-1.031798725,1.085198338,1.391155536,-0.358571299,0.356614985,-0.393512496,-0.620211922,0.034118255,0.583481618,0
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,White,11.40482913,-24.51423079,-2.091699392,0.086358005,0.162280131,-0.09247956,-0.552274811,0.547816913,0.455401608,-0.778364221,-0.281478368,-0.451724911,-0.448729015,0.413810195,0
6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6,White,4.903693222,15.3948396,-16.6848267,-2.096965794,-0.643996584,0.404408266,1.240243264,-0.583694392,-0.054770323,0.121317244,0.312335278,0.672480843,0.318921821,0.25404317,0
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,White,16.09655415,1.430851309,4.964727744,-0.660022651,0.590798816,-1.027738224,0.210910241,1.081062288,-0.072948815,0.476036815,-0.187455413,-0.575916343,-0.644093125,-0.036641092,0
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,White,0.183551288,-15.17812056,18.86037684,0.79149277,1.451321118,0.095221726,0.327058319,-0.32764028,-0.403013978,-0.826735918,-0.220331725,-0.70624859,-0.942422222,0.256664995,0
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7,White,7.590122741,-18.0157244,10.38250697,0.342216652,2.09265329,0.244392717,0.317018015,-0.398792409,-0.551397862,-0.220675031,0.981519081,-0.660238456,-0.735891908,0.393444724,0
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6,White,5.015437379,-24.14578722,7.720741567,0.461112343,-0.472414119,1.66858461,0.553793039,-1.285554404,-0.027941729,0.356603547,0.164293291,-0.243754214,-0.657079491,0.331710216,0
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,White,-12.51770605,-18.47818976,-13.40737938,0.309259012,1.700307546,0.068416918,0.642198656,0.853469979,-1.218343765,-0.136969464,0.554038083,0.127991474,0.234463042,0.104517627,0
6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,6,White,-2.479096389,-13.56808748,1.047387871,-0.065181198,1.176580669,-0.465778168,-0.206737521,0.722352349,-0.891792663,-0.685684418,-0.373140588,-0.123809676,-0.141047778,0.157840662,0
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,White,-21.4632448,-14.81944334,-0.66272209,-0.173750204,1.01179917,0.635383602,-0.986801718,0.118029713,-0.377980283,-1.293010033,-0.107052977,-0.465499811,0.181071358,-0.043352822,0
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,White,13.48089241,9.955954321,-11.05637569,-1.288149043,0.495680204,-0.250900116,1.581761094,-0.237462556,-0.19553278,-0.423995889,0.494263177,-0.201017271,-0.111327178,-0.040116954,0
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,White,-13.85308845,2.982411321,17.45835628,-2.169267185,0.952701996,-0.394713629,1.662802312,1.507680369,0.797537567,-0.662169674,-0.577327708,-0.989289831,0.166837131,-0.281595281,0
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,White,-18.50902477,-15.35978337,0.939752208,0.525152138,2.20549252,-0.706537914,0.628262041,-0.060300781,-0.45509463,-0.146892502,-0.273062742,-0.282805894,-0.193946555,0.113133811,0
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,White,-9.084634743,-25.28002713,11.36538335,-0.129232353,-1.348980737,0.915144788,1.2471586,-1.495604135,-0.745952661,0.019989259,0.352376332,0.409008257,-0.258440376,0.401356158,0
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7,White,-29.43508069,6.042195802,3.147704125,1.046823902,3.439257219,0.002038031,-0.193568302,-0.644478665,-0.380387902,-0.176410566,0.398808597,0.31766124,-0.365988378,-0.017607283,0
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,White,-5.501694061,4.432992286,-2.713720732,-2.758300451,-1.862687665,-0.451576431,0.045464097,0.761721628,-0.416152446,0.895210116,0.909385049,-0.958500791,0.629097976,0.549199177,0
6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6,White,-30.14772615,-0.647552704,-2.117818791,0.770570108,2.590272575,0.268656255,-0.534473199,-0.054630649,-0.36937764,0.297569019,-0.034710922,0.541000518,0.024010275,-0.032923403,0
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,White,25.39729563,6.737332395,3.326950791,-0.724388972,-1.554606915,0.520798754,0.036235694,0.171783351,-0.254719205,0.849361643,-0.301461333,-0.440152086,-0.661162872,0.376425265,0
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,White,7.657185128,0.625577237,2.32423833,-0.441268453,0.482189174,0.194392771,1.484959064,1.516028181,0.048787813,0.202285247,-0.508912423,-0.437320247,-0.118449166,-0.219641649,0
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,White,-7.036964374,1.213359536,3.29195002,-3.10172247,-2.251225827,-0.124465033,-0.709956024,1.299748478,-0.42013169,1.455551528,0.644266719,-0.792134597,0.822596509,0.457221374,0
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,White,8.325447481,-4.166466534,-28.44850198,-2.118111496,-1.2773943,-0.253979595,0.197509086,-0.70479061,0.176467205,-0.644493276,-0.744843521,0.076848896,0.440477781,0.05322967,0
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,White,18.51428713,-12.79603158,-4.614867684,-0.443374029,0.814807946,-0.453700949,0.05954988,0.193923076,0.001098512,0.361194033,-0.450779814,0.07583566,-0.275888966,0.032751193,0
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,White,21.79723789,-14.94671576,13.06717486,0.221380637,-0.228615129,-0.505690067,-0.897988621,0.570653836,-0.497487505,0.176775886,-2.278353694,0.166409777,-0.903950677,-0.258728843,0
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,White,-16.44777359,-15.81591133,0.7090891,1.373869079,2.404359847,2.366847405,0.213923238,0.079295056,0.139944079,-0.31920529,0.219876531,0.633311417,-0.2210107,-0.049730603,0
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,White,2.469436176,13.99556555,-6.878250918,-2.767121936,-2.076041824,-0.302749136,-0.093238598,-0.280093365,-0.18723256,0.923494866,0.375345497,-0.073239114,0.394864891,0.37977466,0
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,White,9.717896331,15.97088612,-13.9224055,-1.898912706,-1.460821043,1.001721368,1.023157949,-0.860649087,0.307561511,-0.48164964,-0.549503791,0.200400729,0.161996467,0.073972435,0
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7,White,-2.929198485,-18.27488588,-5.707046427,-0.373740435,2.806906314,-0.378964985,-0.853144999,-0.321288429,1.029182943,-0.080761461,0.067722006,-0.477743071,4.31E-05,-0.203623154,0
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7,White,25.1500421,-9.001902429,-7.632709918,-1.049760623,-0.056481583,-1.616911701,1.038919548,-0.548801005,0.075769847,-0.116299775,-0.970441651,-0.27739232,-0.536289163,0.375160141,0
6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6,White,-0.317742323,5.692478718,-14.97239506,-1.498128961,0.402203499,-1.097584264,0.087391796,1.497276875,0.366151216,0.104459947,-0.191548791,-1.050463951,0.573316828,0.297455885,0
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6,White,7.657793081,-0.658671413,3.835348968,-1.193485011,0.704813271,0.206469549,0.045744513,1.077404725,0.49615697,-0.394710125,-0.47574064,-0.48271954,-0.264843018,-0.441807728,0
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7,White,11.56622184,-15.46645867,-9.166313367,0.15863096,1.122607228,0.204472223,1.156619018,0.301548577,-0.550164702,-1.122844468,0.136851153,-0.698104938,-0.416357692,0.099621398,0
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,White,25.88796925,-9.223086162,-7.148563646,-0.843721015,-1.405790682,0.587378984,-0.312724069,-0.284804535,-0.393948481,0.568283281,-0.141597835,-0.080230943,-0.410901247,0.241642645,0
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6,White,20.2808869,3.206769183,-8.743870101,0.176130448,-1.229674023,-1.350267089,-0.32092826,1.867529378,1.741014635,-2.013579052,0.772328179,0.478681229,-0.798824104,0.006014373,0
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5,White,13.47905103,15.42728367,-20.19444067,-2.085394132,-1.979919722,1.298653812,0.980839485,-0.825649398,-0.643277295,0.350028738,0.169553306,1.051486152,0.299702868,0.172854741,0
7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7,White,-20.4939474,-12.89985165,8.93780397,0.936089608,1.886168899,-0.831125423,0.464201852,-0.306088967,0.192743425,0.185007998,-0.526539502,-0.258414129,-0.485360732,0.249237311,0
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,White,11.41407127,-24.56051422,-2.122856723,0.786179162,-0.554260851,1.519480755,-0.292406896,1.003088918,0.254636992,-0.739821754,-1.079833083,0.048612793,-0.327867393,0.068729034,0
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,White,11.48906382,-18.27439622,14.67793575,0.241017913,0.582598637,-0.403149586,0.265422723,-0.022965379,-0.661588313,0.100633348,-0.723396607,0.194825555,-0.710957098,0.072956056,0
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,White,10.00275308,-24.95457214,-9.657599246,0.249637639,1.921916405,0.04530248,0.796354146,0.401335022,-0.041297493,-0.857539369,0.098737395,-0.315116683,-0.299612666,0.148444185,0
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5,White,14.03537742,0.353918012,19.46121792,-0.44591016,-0.592874433,0.866374153,0.390547385,0.8233843,0.433392364,0.61838634,-1.806809513,0.346322508,-0.733678014,-0.122013654,0
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6,White,-22.81560901,-8.857060986,-9.398354301,-0.44258098,1.298509445,-0.146907147,-1.149156622,-0.613681453,0.152956275,0.141041531,-0.096309052,-0.057990417,0.34256739,-0.203207259,0
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,White,7.237222113,4.87067065,5.493171675,-1.647775781,-0.280523169,0.09241673,1.110723339,0.633802505,-0.704501343,-0.547103764,0.183094259,-0.039088911,-0.145044874,-0.054871146,0
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8,White,18.73111474,7.772020302,-23.03450405,-1.138450084,1.459797699,-0.21021655,2.515322232,-1.769217806,0.529644572,0.352073939,1.23277025,0.529975759,-0.155256448,0.073064574,0
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,White,-1.192709922,5.51667363,-13.42420269,-1.116263271,0.583065822,1.810173443,-0.371171994,1.710243825,0.765829162,-0.387217022,-0.417412118,-0.190529231,0.770855115,-0.167728724,0
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,White,-9.734891842,-3.255366601,23.49345218,-2.755515287,-1.006574376,0.537287759,0.872555814,0.194784787,0.560909583,-0.122947017,-0.247769941,-0.45881848,-0.169094854,-0.169050928,0
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,White,-26.83840561,-8.488947822,-1.370073575,0.4415848,1.769153137,-0.282428474,-0.279587288,0.33794657,-0.752588221,-0.024621035,-0.765211952,-0.080576288,0.033288751,0.145838526,0
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,White,-6.830392191,-17.18206644,13.67253483,0.948462048,2.241406636,0.548378854,0.413900476,0.162281266,-0.618964867,0.298047395,0.277887632,1.00223174,-0.51199502,0.021925299,0
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,White,11.12248575,-25.25853429,-5.529026973,-0.162363164,1.985027932,-0.715218235,-0.644433216,0.429225367,0.186148747,0.726586048,0.125782369,0.012605897,-0.030894784,-0.406404118,0
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,White,-4.24379635,5.369914296,-1.724432898,-2.678462106,-1.380646767,-0.009560916,-0.595622441,0.730224275,0.320107445,0.184011763,0.056394512,-0.493118207,0.598899005,0.017504592,0
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,White,21.68307183,6.344792764,-10.63974475,-0.95500507,0.201925898,0.775157941,0.21212684,0.970317308,-0.966426708,-0.073088025,0.027587201,0.632756805,0.123357489,-0.328150236,0
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,White,9.431134843,-0.205874741,10.22040335,-2.453948007,-1.385751707,-0.026929353,0.065701544,-1.00064947,0.529343918,-0.250276952,-0.566229206,0.151521957,-0.349828327,0.024008245,0
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,White,30.9819413,0.743988807,-2.551457274,-0.661721407,-0.566501249,0.984110097,-0.807076694,-0.115638216,-0.160579671,0.349085971,-0.098439638,0.069568043,-0.610803128,-0.117782753,0
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6,White,-6.468266627,3.197440556,-9.868470394,-3.384595628,-1.1188312,-0.065638635,1.290453466,-0.096552478,0.172233758,0.111399381,0.230514048,-0.19808606,1.542202778,0.016126612,0
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,White,11.91583886,7.095248973,3.29148551,-1.551018571,-0.245740288,-0.081754597,0.910527063,0.347295917,-0.607189408,-0.336048528,0.000646538,0.058583335,-0.223362822,-0.043471564,0
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,White,-5.499034304,-19.24950569,-22.0279936,-1.258565389,0.218862155,0.232961259,1.248865406,-0.751315826,-1.145922674,-1.679888197,0.456547061,-0.19303167,0.390319028,0.200936639,0
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,White,-24.87238361,-8.635941086,8.636450355,-0.118586836,1.437060342,-1.413410228,-1.188333889,0.166581722,-0.365518724,-0.107741935,-0.798507495,-0.053634679,-0.046420419,-0.103093226,0
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,White,7.827722524,-6.691195132,15.16397643,-2.35601289,-1.936756634,0.950507797,0.285063127,-0.194329545,0.219522793,-0.038648876,-0.906079134,0.673907504,-0.142508108,-0.259015655,0
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,White,20.77711017,-7.329044502,-17.0875603,0.069379958,-0.613133193,1.428561978,-0.453323604,0.332636548,0.994178521,0.412283705,-1.143618101,-0.064286825,-0.167057974,-0.117100366,0
